Python 3.9.5,Environment,Package,Version,,,,,
,,Pandas,1.3.4,,,,,
,,Numpy,1.21,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
R version 4.2.1,Environment,Package,Version,,,,,
,,twang,2.5,,,,,
,,cobalt,4.4.1,,,,,
,,xtable,1.8-4,,,,,
,,survey,4.1-1,,,,,
,,stringr,1.4.1,,,,,
,,WeightIt,0.13.1,,,,,
,,stats,4.2.1,,,,,
,,survminer,0.4.9,,,,,
,,survival,3.3-1,,,,,
,,powerSurvEpi,0.1.3,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
